N,trial,x0,R0,gamma0,collapse_time,collapsed
33.94736842105263,0,0.16795226675518218,0.9024206998395874,0.9727789485732644,,False
33.94736842105263,1,0.07963237460907747,0.4767841597726182,0.006010526011300691,,False
33.94736842105263,2,0.12804890058679747,0.842292007971434,1.3148196187706043,,False
33.94736842105263,3,0.15847304768890605,0.8566873076620805,1.3905128414248829,,False
33.94736842105263,4,0.02783419357172468,0.5789943327427142,0.25427792309372665,,False
33.94736842105263,5,0.1573000487399717,0.4524750687168125,0.028304613816399243,6.0,True
33.94736842105263,6,0.12836598389830356,0.46628400902073724,0.022074555665436337,11.0,True
33.94736842105263,7,0.1633015810213915,0.8193870448707223,0.8918557320371456,,False
33.94736842105263,8,0.15644498074110602,0.6414172828752328,0.542932078141146,,False
33.94736842105263,9,0.06783098417902489,0.7746761379857319,0.8478653437698362,,False
33.94736842105263,10,0.06397200812081072,0.937606659194528,1.1888795346996968,,False
33.94736842105263,11,0.0335698545977221,0.6380598162001132,0.49417288485599176,,False
33.94736842105263,12,0.14918905695620507,0.9993088535367206,1.466729082116087,,False
33.94736842105263,13,0.08527071218100515,0.5252517029162944,0.05694206813272422,,False
33.94736842105263,14,0.17961280596206675,0.8354845555663621,1.1714626536080723,,False
33.94736842105263,15,0.08277905486748705,0.9534143181570551,1.5075535728789498,,False
33.94736842105263,16,0.04149870613008984,0.6509581547595233,0.3592357403042345,,False
33.94736842105263,17,0.052316646030205055,0.45971782954995166,0.024930395407508993,,False
33.94736842105263,18,0.12152644239228755,0.6388108543083992,0.42000401812066,,False
33.94736842105263,19,0.17347348365513213,0.8635797168662036,1.2338119145969972,,False
33.94736842105263,20,0.06552654001789204,0.9433482393251473,1.2460595605377853,,False
33.94736842105263,21,0.07205483688266832,0.9499856479326216,1.5246782195194073,,False
33.94736842105263,22,0.13877087190687626,0.7749096367900714,0.9849142983039594,,False
33.94736842105263,23,0.0679013266423721,0.5827546338946645,0.2239406819363727,,False
33.94736842105263,24,0.04487065025334759,0.9308729009099441,1.2508588479674814,,False
33.94736842105263,25,0.10983830310630155,0.8855859338277557,1.4933252151966958,,False
33.94736842105263,26,0.09014180137347087,0.711941519722699,0.889868131586959,,False
33.94736842105263,27,0.12793559631664383,0.8980511437148355,1.6351167670120423,,False
33.94736842105263,28,0.14601437379669427,0.5518486397244622,0.15027127118109332,,False
33.94736842105263,29,0.03630306517032718,0.8091071696101991,1.2927641172800999,,False
37.368421052631575,0,0.10203713028801782,0.6881348710772719,0.3154082161427388,,False
37.368421052631575,1,0.17356392357267525,0.5066514762715872,0.002259350131766582,7.800000000000001,True
37.368421052631575,2,0.05937065784079015,0.4860417386551103,0.025031481332646932,,False
37.368421052631575,3,0.102574048201138,0.6219134719657211,0.15358581302827684,,False
37.368421052631575,4,0.03785605891987627,0.6614774078944604,0.2545034474806918,,False
37.368421052631575,5,0.13171035609758616,0.5638612978386466,0.022200125378413694,,False
37.368421052631575,6,0.0830601243484956,0.6791352981880313,0.28505550745127756,,False
37.368421052631575,7,0.03793125935979161,0.9245205100574829,0.8744837214342304,,False
37.368421052631575,8,0.10130677693006002,0.7192261035789644,0.4866034360273913,,False
37.368421052631575,9,0.08901232322343194,0.8793196256396214,1.3014441711653093,,False
37.368421052631575,10,0.06165576694644001,0.6273697425322514,0.19284099382822487,,False
37.368421052631575,11,0.09677814408817043,0.8257920967123471,0.7577332287302876,,False
37.368421052631575,12,0.07291771872877867,0.9617115396740328,1.0018151001652738,,False
37.368421052631575,13,0.0937231368383306,0.8413569228782278,0.7584976398222578,,False
37.368421052631575,14,0.027579843200877096,0.5260129544011919,0.05053527564418756,,False
37.368421052631575,15,0.021481565091379745,0.5535770861462435,0.0017205932095904505,,False
37.368421052631575,16,0.037700714809952525,0.791082107645563,0.6647564003497769,,False
37.368421052631575,17,0.1110739280689083,0.7746074605213693,0.8774909243237076,,False
37.368421052631575,18,0.02075862286589983,0.9193532026383018,1.3054976771797508,,False
37.368421052631575,19,0.04603895777679322,0.8751155634744062,1.2932710755092849,,False
37.368421052631575,20,0.06068215740066517,0.9553365244964744,1.3063933667061227,,False
37.368421052631575,21,0.11654791269333144,0.991557243489704,1.3461406892264678,,False
37.368421052631575,22,0.15010549533121806,0.6251195148056528,0.2582711938359621,,False
37.368421052631575,23,0.1161174270180228,0.5689956323739708,0.03468215161109612,,False
37.368421052631575,24,0.07082170149816987,0.4929596161942001,0.0016409123554833617,,False
37.368421052631575,25,0.07543658486514895,0.46046878129961755,0.009101826666997628,,False
37.368421052631575,26,0.136029331336139,0.8394501796259733,1.081432663496696,,False
37.368421052631575,27,0.0707445073807966,0.9395107014147326,1.3596675363207655,,False
37.368421052631575,28,0.04016421467946024,0.5290452638005437,0.03812024848113359,,False
37.368421052631575,29,0.047671029830732486,0.7290109858701238,0.7385607989360775,,False
40.78947368421053,0,0.02064121675733432,0.4591188910436563,0.05461965200617787,,False
40.78947368421053,1,0.11354221346146649,0.5198004865351822,0.04935162098647516,11.0,True
40.78947368421053,2,0.16086084802043074,0.7449102272112564,0.4848448879871704,,False
40.78947368421053,3,0.06370995064014022,0.4777858330046028,0.03270121848899754,21.400000000000002,True
